executorCores,executorMemory,executorInstances,defaultParallelism,memoryOffHeapEnabled,memoryOffHeapSize,memoryFraction,memoryStorageFraction,shuffleFileBuffer,speculation,reducerMaxSizeInFlight,shuffleSortBypassMerageThreshold,speculationInterval,speculationMultiplier,speculationQuantile,broadcastBlockSize,ioCompressionCodec,ioCompressionLz4BlockSize,ioCompressionSnappyBlockSize,kryoRederenceTracking,kryoserializerBufferMax,kryoserializerBuffer,storageMemoryMapThreshold,networkTimeout,localityWait,shuffleCompress,shuffleSpillCompress,broadcastCompress,rddCompress,serializer,PERF
13,29125,36,27,false,59,0.7035068435421206,0.9631637796011959,99,true,54,435,17,1.6140281955065692,0.35803156331982955,35,lz4,98,68,true,22,22,352,216,6,false,true,true,false,org.apache.spark.serializer.KryoSerializer,186.53
13,36273,36,26,false,16,0.6505202169750012,0.7378193050729114,20,false,96,123,48,1.211563411722722,0.30477757108901593,86,lz4,95,75,false,124,85,476,455,5,false,false,false,true,org.apache.spark.serializer.JavaSerializer,208.493
4,30385,30,42,true,40,0.7860548690550722,0.7875776076730823,50,false,52,566,55,2.3023630723362842,0.17873125624045505,127,lz4,91,11,true,24,49,488,258,4,true,false,false,true,org.apache.spark.serializer.JavaSerializer,177.546
9,36847,26,33,false,27,0.6726492477108632,0.7389581280209333,76,true,119,994,49,4.341445802620516,0.3202888330260817,55,lz4,76,3,false,64,83,425,94,7,true,true,true,true,org.apache.spark.serializer.JavaSerializer,184.053
11,33702,18,18,false,98,0.92576389078951,0.9985596059280446,39,true,34,944,50,1.2661341254915324,0.16432360724484174,45,lzf,80,56,true,73,4,281,26,7,false,false,false,true,org.apache.spark.serializer.KryoSerializer,156.282
2,30525,27,33,true,20,0.9944553276577692,0.9093308267468044,118,true,42,589,92,3.9985042703228806,0.9202047269962276,69,lzf,113,42,false,67,81,259,486,10,false,false,false,true,org.apache.spark.serializer.JavaSerializer,256.785
6,31332,21,19,true,52,0.733020919371006,0.9316377329728008,68,true,3,242,22,3.609221959338032,0.5774545768573861,97,lz4,120,28,true,99,93,425,414,6,false,true,false,true,org.apache.spark.serializer.KryoSerializer,156.54399999999998
9,38677,19,36,true,65,0.7601240617756111,0.7902629009983524,50,true,78,340,60,4.7359308149710255,0.3335896294501213,16,lz4,81,51,false,31,118,247,253,4,true,false,false,true,org.apache.spark.serializer.JavaSerializer,176.037
6,36960,48,27,true,82,0.6931057787612839,0.9230117996958912,14,false,88,182,41,3.2686380565617204,0.4003573909824311,111,lz4,124,114,false,16,73,311,111,8,true,false,true,false,org.apache.spark.serializer.JavaSerializer,182.22299999999998
10,29543,31,10,true,13,0.618785745293304,0.8306278769733296,18,true,34,792,22,4.0735735610702575,0.4775780434845541,80,lz4,71,108,false,37,80,163,469,10,true,true,true,true,org.apache.spark.serializer.JavaSerializer,150.299
16,32409,21,32,true,92,0.7292740623267231,0.9897277629871496,13,false,120,709,85,2.6787849405889927,0.8116870277095601,69,lzf,116,25,true,118,71,102,73,5,true,true,true,false,org.apache.spark.serializer.JavaSerializer,148.716
3,41079,9,10,false,92,0.7411054740010078,0.7140443914849736,54,false,56,998,83,3.310032837331579,0.6474524010461262,121,lz4,69,98,false,32,95,480,348,8,false,true,true,true,org.apache.spark.serializer.KryoSerializer,229.21200000000002
15,30490,17,12,true,39,0.8856214724977607,0.8845461764666275,47,true,25,488,26,2.2497017785394715,0.5297747342747079,53,lz4,95,77,true,101,49,332,260,2,false,false,true,false,org.apache.spark.serializer.JavaSerializer,194.17700000000002
14,41819,41,29,true,22,0.8413721556690993,0.6880528811576472,120,false,122,756,20,2.1735918886142858,0.31315966617622826,52,lz4,73,14,true,38,30,206,473,6,true,true,false,true,org.apache.spark.serializer.KryoSerializer,170.86900000000003
3,30867,22,36,false,96,0.8618093481434104,0.8181506573603773,73,false,20,517,23,2.518958312493925,0.42878523586935857,32,lz4,84,34,true,47,78,97,397,6,true,false,true,true,org.apache.spark.serializer.KryoSerializer,166.00900000000001
3,42653,40,13,true,34,0.7967819177735566,0.643738913481705,31,true,75,422,39,1.2456937076808965,0.234370159766515,59,lz4,124,85,false,75,113,150,46,3,false,true,true,true,org.apache.spark.serializer.JavaSerializer,272.535
8,28299,43,13,true,72,0.8819384301722717,0.8022374006969473,24,true,105,666,60,4.97172908390165,0.5072199321211908,83,lz4,81,36,false,114,125,418,288,10,true,true,true,true,org.apache.spark.serializer.KryoSerializer,145.697
15,43748,43,25,true,40,0.7131318285830408,0.8395189118050628,123,false,97,562,41,1.555796616137512,0.8255210503650119,72,lz4,88,113,true,113,7,464,293,2,false,true,true,false,org.apache.spark.serializer.JavaSerializer,204.83700000000002
12,36285,23,29,true,28,0.7425020920911101,0.8900411700559899,125,false,42,785,82,4.1947824209768685,0.22568290229992435,66,lz4,68,103,false,24,23,295,90,7,false,true,true,false,org.apache.spark.serializer.KryoSerializer,156.954
8,41666,24,37,true,56,0.9763176602768572,0.8667243358534558,72,false,89,600,45,2.7990525092530905,0.3942280765607112,117,lzf,123,53,true,36,110,453,269,10,false,false,true,false,org.apache.spark.serializer.JavaSerializer,228.02
11,33196,31,39,true,66,0.9109489028227432,0.8021620460346526,19,false,116,630,80,3.210550354305641,0.7216999555261692,30,lz4,81,23,false,12,95,365,427,9,true,true,true,false,org.apache.spark.serializer.KryoSerializer,146.816
9,36722,9,47,true,15,0.7295472288723307,0.9636971700867276,118,false,26,438,76,1.8458643860522927,0.6227694643906942,110,lz4,111,57,true,19,81,348,35,3,false,true,true,false,org.apache.spark.serializer.JavaSerializer,228.68599999999998
14,27028,17,19,true,100,0.8692324235926715,0.8241784933931691,90,false,101,176,92,3.1686272794335064,0.28415814789830524,91,lzf,96,32,true,79,128,103,211,2,false,false,false,false,org.apache.spark.serializer.JavaSerializer,194.885
11,27685,22,23,false,33,0.8238437803776687,0.8520434443929463,23,false,112,869,98,2.710398564291618,0.5155246642960428,41,lz4,116,18,true,109,111,355,259,2,false,false,true,false,org.apache.spark.serializer.JavaSerializer,206.803
3,40185,14,40,true,57,0.7406118905090109,0.8550910442625868,89,false,127,723,18,2.1510557041310103,0.7008145353564507,77,lzf,75,113,true,56,66,85,222,9,true,false,true,true,org.apache.spark.serializer.KryoSerializer,244.27200000000002
11,28884,47,24,false,100,0.6339319553142816,0.9144763874060552,35,false,35,768,65,2.1397628958363266,0.5417376954793289,105,lz4,94,34,true,118,49,487,462,7,true,false,false,false,org.apache.spark.serializer.KryoSerializer,156.724
3,34407,44,36,false,80,0.7639226198399799,0.9310516993220784,22,true,107,359,63,3.009877403645107,0.3343792397701093,67,lzf,100,14,true,69,86,98,455,3,true,true,true,true,org.apache.spark.serializer.JavaSerializer,178.65200000000002
4,38385,14,24,false,83,0.9544756230961636,0.665662326704431,63,true,118,629,21,1.2525717319631002,0.5149986961900997,108,lz4,80,87,false,95,68,355,198,8,true,true,false,true,org.apache.spark.serializer.JavaSerializer,181.987
15,43069,38,29,false,75,0.7067069920482278,0.8685581237062684,35,true,58,749,43,2.006329525288175,0.5869979327487818,123,lz4,76,6,true,97,53,182,395,3,false,true,false,true,org.apache.spark.serializer.JavaSerializer,208.231
5,32450,38,33,false,97,0.8367982539747548,0.6467908853253155,45,true,44,751,85,2.0129417880715224,0.9586746851988672,78,lzf,97,31,false,55,87,223,439,10,true,true,true,false,org.apache.spark.serializer.JavaSerializer,154.36
12,39593,23,11,true,18,0.8672977297442578,0.6547603170147229,87,true,9,673,50,4.261282975923596,0.6002030664705462,88,lzf,90,28,true,109,73,323,113,4,true,true,false,true,org.apache.spark.serializer.KryoSerializer,162.007
13,26415,43,23,true,19,0.7554651591992404,0.7085325774252227,96,true,11,300,84,3.594956378077123,0.32042789709922265,62,lzf,99,34,true,93,81,255,331,2,true,false,false,true,org.apache.spark.serializer.KryoSerializer,119.602
3,44011,31,36,true,31,0.7229920729383953,0.862442323520733,117,false,25,941,22,1.730925439930074,0.7917641249544194,38,lz4,74,115,false,87,122,395,479,6,true,true,true,true,org.apache.spark.serializer.KryoSerializer,238.40200000000002
8,37705,25,34,true,32,0.9601307101424486,0.9437205589422859,55,false,8,672,83,3.3106904615179578,0.7429788634357645,61,lzf,69,84,true,73,67,252,369,9,true,true,true,false,org.apache.spark.serializer.JavaSerializer,185.425
9,41373,14,22,false,39,0.7220128057015355,0.8001925087846979,54,true,114,522,94,1.9347883112147044,0.4380391974041648,25,lzf,121,96,false,82,93,313,86,5,true,false,false,false,org.apache.spark.serializer.JavaSerializer,174.703
6,30260,48,33,true,76,0.7992333450635996,0.9729508428418019,32,false,110,822,24,3.031266562328556,0.5900880133485182,94,lzf,75,11,false,29,116,69,487,5,false,true,true,true,org.apache.spark.serializer.JavaSerializer,174.774
8,25639,43,43,true,34,0.8926042565035914,0.8282920831230463,52,false,37,398,29,4.683747773102919,0.32676085254357445,93,lz4,88,59,false,96,38,72,272,2,true,true,true,false,org.apache.spark.serializer.JavaSerializer,147.74200000000002
16,40923,13,32,true,40,0.6475535776504266,0.6180627327252168,115,true,75,590,74,1.7625436832719088,0.2542946643939693,86,lz4,114,13,true,93,26,191,147,3,false,true,true,true,org.apache.spark.serializer.JavaSerializer,207.44400000000002
3,36390,34,9,true,38,0.9173186781282486,0.8680893778332146,40,true,93,870,61,4.804083578053714,0.7823219667552829,19,lz4,119,107,true,17,3,384,297,10,true,true,false,true,org.apache.spark.serializer.JavaSerializer,156.731
4,26525,45,46,false,50,0.6348682192133944,0.6453278323228046,28,false,10,840,41,2.8325488654214537,0.16569479559892686,82,lzf,93,40,true,98,32,337,142,9,true,false,false,true,org.apache.spark.serializer.JavaSerializer,155.623
16,30712,23,18,true,89,0.7449315428551756,0.8859590116650966,67,false,91,991,75,1.26152423601523,0.29026496932484697,87,lz4,87,54,true,57,78,373,405,9,false,true,true,false,org.apache.spark.serializer.KryoSerializer,140.38
2,28699,17,14,false,25,0.6372976226032159,0.6398746890045581,108,true,72,666,28,2.5686362716994826,0.9936010792250688,76,lz4,82,46,true,115,14,110,357,10,true,false,true,true,org.apache.spark.serializer.KryoSerializer,220.521
10,35349,43,11,true,97,0.8506454602355077,0.9782686230325224,3,false,93,313,17,2.324648709196248,0.2154168827274085,9,lzf,100,102,false,83,73,259,301,3,false,true,false,false,org.apache.spark.serializer.KryoSerializer,155.282
6,32362,25,38,true,42,0.8758146591378784,0.6358250072499138,120,true,55,739,27,4.902218368123704,0.8478047379515736,6,lzf,83,25,true,86,127,182,193,4,false,true,false,true,org.apache.spark.serializer.JavaSerializer,182.468
4,35392,33,32,true,34,0.8716269695754626,0.6524122030357142,13,false,62,176,100,2.2566535691031344,0.42355988853164894,15,lz4,113,85,true,96,61,306,386,9,true,true,false,false,org.apache.spark.serializer.JavaSerializer,180.88299999999998
8,31693,29,16,true,13,0.8922655382391035,0.7506410056149654,127,false,9,455,64,1.641018704280354,0.538189247434286,47,lzf,76,90,false,60,22,122,157,3,true,false,false,false,org.apache.spark.serializer.JavaSerializer,144.865
12,33646,42,47,false,24,0.6351815373275363,0.704577512649139,10,false,75,908,95,4.414003537557967,0.5613023888976696,64,lz4,105,4,true,108,82,110,396,8,true,false,false,true,org.apache.spark.serializer.JavaSerializer,179.918
15,26386,15,14,true,56,0.7579820599661273,0.8674644025458347,121,false,21,267,54,3.31330134761524,0.4431081539117878,60,lz4,75,61,false,111,118,148,176,6,false,false,false,true,org.apache.spark.serializer.JavaSerializer,195.322
